id;name;title;date;type
1;San deposit Berkshire;facilitate Towels;2021-06-10;ARTIST
2;Sheqel;architect;2021-06-10;ARTIST
3;Bike;Table Guinea;2021-06-10;CORPORATE
4;Small Human Front-line;empowering Ghana parsing;2021-06-10;DEFAULT
5;Shoes generate;Mexico Northern;2021-06-10;ARTIST
6;Money;Integration;2021-06-10;ADMIN
7;virtual connecting;Group algorithm;2021-06-10;ARTIST
8;Tennessee;Practical Account complexity;2021-06-09;REGULAR
9;Republic;Berkshire Optional navigate;2021-06-10;ADMIN
10;Fiji Avon;National;2021-06-09;ADMIN
