id;name;title;date;type
1;mobile partnerships;generate;2021-06-10;ARTIST
2;AI Human deploy;Guarani;2021-06-10;ADMIN
3;Buckinghamshire;fresh-thinking Underpass experiences;2021-06-09;REGULAR
4;Via redundant web-enabled;Rupee Hryvnia Wooden;2021-06-10;DEFAULT
5;engineer intuitive parse;optical Kentucky Card;2021-06-10;ARTIST
6;payment Ports;Identity;2021-06-10;DEFAULT
7;Connecticut;Account Forward hub;2021-06-10;CORPORATE
8;service-desk cross-platform;Pizza mobile;2021-06-09;DESIGNER
9;responsive;Soap Grocery;2021-06-09;CORPORATE
10;SAS;input invoice New;2021-06-10;DEFAULT
